promedio_kardex,horas_estudio,asistencias,unidades_aprobadas,nivel_estres,motivacion,beca,trabaja,perfil_rendimiento,edad,horas_ocio,integrantes_familia,ingresos_familiares,actividades_extracurriculares,participacion_clase,apoyo_gubernamental,habilidades_blandas,sociabilidad,semestre,materias_cursando,carrera
84.9,2,92,8,6,5,No,Sí,Rendimiento Promedio,19,5,4,38005,2,84,Sí,79.6,93.1,2,6,Arquitectura
75.0,2,77,5,9,1,Sí,No,Bajo Rendimiento,19,3,6,24344,1,82,No,79.7,80.4,4,7,Ing. Sistemas
88.2,2,93,6,5,5,No,Sí,Rendimiento Promedio,25,1,5,33361,3,75,Sí,82.7,84.5,7,6,Ing. Civil
80.0,2,83,3,8,3,No,No,Bajo Rendimiento,25,2,2,44543,2,81,Sí,85.6,81.1,1,6,Ing. Gestión Empresarial
87.6,3,86,5,6,8,No,Sí,Rendimiento Promedio,20,3,5,11154,1,85,Sí,87.0,81.8,2,6,Ing. Gestión Empresarial
75.1,1,71,1,7,4,No,No,Bajo Rendimiento,22,3,2,32024,2,88,No,93.9,87.1,12,6,Ing. Electrónica
89.2,3,87,6,7,8,No,Sí,Rendimiento Promedio,22,5,5,42379,0,77,No,75.0,74.1,5,4,Arquitectura
87.9,2,93,6,5,6,No,Sí,Rendimiento Promedio,19,5,6,14048,0,78,Sí,78.8,93.4,9,7,Arquitectura
85.2,4,84,7,7,8,Sí,Sí,Rendimiento Promedio,20,3,4,8811,0,81,No,81.4,88.2,1,5,Ing. Mecánica
82.4,2,89,7,6,7,No,Sí,Rendimiento Promedio,22,5,3,44342,3,82,Sí,81.2,84.2,3,5,Ing. Industrial
87.9,4,83,8,5,7,No,Sí,Rendimiento Promedio,20,1,4,20917,3,73,Sí,77.9,79.5,6,7,Ing. Química
88.6,2,91,6,6,7,No,Sí,Rendimiento Promedio,19,3,2,28070,1,84,Sí,85.0,74.3,7,6,Arquitectura
87.3,4,86,5,5,8,Sí,Sí,Rendimiento Promedio,18,3,4,31952,3,89,Sí,94.6,84.1,6,7,Ing. Bioquímica
70.6,2,84,4,8,1,No,No,Bajo Rendimiento,23,3,2,19895,2,81,No,89.3,82.2,12,6,Ing. Industrial
84.9,4,90,7,5,5,No,Sí,Rendimiento Promedio,23,5,2,48968,3,83,No,80.2,83.7,12,6,Ing. Electrónica
84.3,3,90,6,5,7,No,Sí,Rendimiento Promedio,23,3,5,23179,3,86,Sí,84.5,85.1,7,6,Arquitectura
80.4,2,89,8,5,8,No,Sí,Rendimiento Promedio,22,2,2,32922,3,83,No,84.3,89.1,8,5,Ing. Gestión Empresarial
85.4,3,84,6,7,8,No,No,Rendimiento Promedio,20,2,5,6960,0,81,Sí,87.3,88.5,10,7,Arquitectura
95.3,4,96,9,4,8,Sí,No,Alto Rendimiento,18,1,4,38429,1,81,Sí,84.7,86.6,11,6,Ing. Industrial
94.5,3,96,9,3,10,Sí,No,Alto Rendimiento,19,3,1,17658,3,84,Sí,82.6,91.7,6,7,Ing. Civil
83.1,2,80,5,5,7,No,Sí,Rendimiento Promedio,25,3,2,21839,1,88,No,94.2,84.2,1,4,Ing. Industrial
81.9,2,81,7,4,6,No,Sí,Rendimiento Promedio,24,5,7,5024,2,84,No,83.4,85.7,4,7,Ing. Mecánica
72.6,1,85,2,10,1,Sí,No,Bajo Rendimiento,21,4,4,6017,1,89,Sí,82.4,92.4,1,6,Ing. Civil
77.0,2,70,3,8,3,Sí,No,Bajo Rendimiento,23,4,5,47371,1,83,No,93.0,94.0,12,6,Ing. Sistemas
92.2,4,100,10,2,8,Sí,Sí,Alto Rendimiento,22,3,3,16244,3,83,No,86.0,85.8,12,7,Ing. Bioquímica
86.5,4,90,8,4,6,No,Sí,Rendimiento Promedio,24,1,3,13500,2,90,Sí,86.5,84.0,5,5,Arquitectura
80.0,4,83,8,5,6,No,No,Rendimiento Promedio,25,2,4,48186,0,80,No,92.9,91.6,8,6,Ing. Civil
87.7,3,91,8,7,6,No,Sí,Rendimiento Promedio,22,3,3,23637,2,88,Sí,86.0,85.0,2,7,Ing. Industrial
70.0,1,71,4,10,4,No,No,Bajo Rendimiento,20,3,2,37772,0,85,No,81.7,83.4,5,5,Ing. Sistemas
94.8,3,98,10,3,8,Sí,Sí,Alto Rendimiento,19,1,4,46274,0,81,No,87.5,84.3,6,5,Ing. Mecánica
83.0,4,83,6,5,7,No,No,Rendimiento Promedio,23,1,2,37604,0,79,No,74.6,90.2,3,5,Ing. Gestión Empresarial
90.0,2,89,5,6,7,No,No,Rendimiento Promedio,19,4,7,38684,0,84,Sí,96.6,85.1,2,6,Ing. Electrónica
80.2,4,90,8,7,5,Sí,Sí,Rendimiento Promedio,22,3,1,24278,1,85,No,78.6,84.1,4,5,Arquitectura
80.0,3,82,8,7,5,No,Sí,Rendimiento Promedio,22,3,4,23070,0,91,Sí,84.9,80.9,10,7,Ing. Gestión Empresarial
86.3,2,87,5,5,8,No,Sí,Rendimiento Promedio,23,5,5,34920,1,85,No,86.9,82.6,10,7,Ing. Civil
99.0,3,96,10,1,9,Sí,No,Alto Rendimiento,23,2,1,40121,2,76,No,73.1,88.0,10,6,Ing. Electrónica
78.1,2,71,5,7,2,Sí,No,Bajo Rendimiento,20,5,1,29885,0,86,No,81.3,88.6,8,6,Arquitectura
87.3,3,82,6,6,7,Sí,Sí,Rendimiento Promedio,25,5,3,49943,3,91,No,93.8,77.9,2,6,Ing. Gestión Empresarial
79.4,1,73,1,9,4,No,No,Bajo Rendimiento,20,2,2,11952,0,85,Sí,91.2,86.1,3,5,Ing. Mecánica
85.9,3,91,5,5,8,No,Sí,Rendimiento Promedio,21,3,4,9617,0,86,No,92.7,90.3,12,6,Ing. Inteligencia Artificial
75.3,2,78,2,8,3,No,No,Bajo Rendimiento,18,4,4,40957,0,75,No,83.3,74.6,2,6,Ing. Civil
90.0,3,88,8,7,8,No,Sí,Rendimiento Promedio,20,2,1,35364,0,89,No,91.3,87.3,12,7,Ing. Sistemas
94.6,3,96,8,4,10,No,Sí,Alto Rendimiento,18,1,2,45528,3,80,Sí,87.9,89.1,1,6,Ing. Inteligencia Artificial
71.0,1,74,1,10,2,Sí,No,Bajo Rendimiento,22,3,5,18485,2,78,Sí,84.4,90.4,1,7,Ing. Electrónica
77.6,2,81,3,8,1,Sí,Sí,Bajo Rendimiento,21,2,4,47379,0,81,No,88.2,89.0,10,6,Ing. Mecánica
86.7,4,81,6,7,5,No,No,Rendimiento Promedio,21,2,2,13421,3,85,Sí,86.2,82.8,3,5,Ing. Mecánica
92.1,4,98,8,2,9,Sí,Sí,Alto Rendimiento,24,2,2,11300,3,81,No,87.7,78.9,1,5,Ing. Sistemas
72.7,2,76,5,9,4,Sí,No,Bajo Rendimiento,24,4,3,38101,2,88,Sí,78.9,86.3,8,6,Ing. Mecánica
86.5,2,92,6,7,6,No,Sí,Rendimiento Promedio,24,5,2,20079,2,78,No,89.4,87.4,1,7,Ing. Civil
80.0,2,77,3,10,1,No,No,Bajo Rendimiento,21,5,3,29231,2,85,Sí,74.2,81.8,3,6,Ing. Mecánica
94.8,3,100,8,1,9,Sí,No,Alto Rendimiento,19,2,3,12120,3,80,No,81.6,86.0,10,5,Arquitectura
84.4,4,90,7,4,8,No,No,Rendimiento Promedio,23,2,2,13490,1,83,No,77.1,82.8,9,7,Ing. Mecánica
79.1,2,77,5,9,2,No,No,Bajo Rendimiento,25,5,4,33262,1,91,Sí,95.6,87.0,3,6,Ing. Industrial
88.0,4,84,8,5,7,No,Sí,Rendimiento Promedio,24,4,1,37086,3,86,Sí,100.0,84.0,9,5,Ing. Sistemas
78.9,2,73,2,10,3,No,No,Bajo Rendimiento,23,3,3,28247,0,85,No,94.9,77.6,12,6,Ing. Gestión Empresarial
84.1,4,86,6,4,7,No,Sí,Rendimiento Promedio,22,5,2,23444,3,79,Sí,91.1,86.4,1,6,Arquitectura
87.3,4,86,5,6,5,No,Sí,Rendimiento Promedio,19,2,1,17988,3,83,Sí,80.3,89.3,6,5,Ing. Industrial
86.2,4,93,8,5,5,No,No,Rendimiento Promedio,19,4,6,33846,2,81,No,79.6,90.3,7,6,Ing. Gestión Empresarial
81.5,2,92,5,6,6,No,No,Rendimiento Promedio,21,4,3,15642,2,74,No,86.0,83.5,4,4,Arquitectura
86.8,2,81,6,6,7,No,Sí,Rendimiento Promedio,25,2,2,34314,0,86,No,83.9,87.3,11,6,Ing. Civil
84.7,2,80,5,5,7,Sí,Sí,Rendimiento Promedio,19,1,2,28402,3,78,No,80.4,78.7,4,5,Arquitectura
85.4,2,90,5,7,5,No,Sí,Rendimiento Promedio,22,4,1,19791,0,82,No,84.8,95.8,9,6,Ing. Inteligencia Artificial
93.5,4,99,8,2,8,Sí,No,Alto Rendimiento,22,5,2,17967,2,85,Sí,75.2,77.0,4,5,Ing. Industrial
92.7,3,96,9,1,8,Sí,No,Alto Rendimiento,24,1,3,46227,3,81,Sí,81.6,74.3,7,7,Arquitectura
99.3,3,96,8,2,10,No,No,Alto Rendimiento,19,3,3,17627,3,79,No,80.2,90.7,6,6,Ing. Química
96.5,3,99,9,2,10,Sí,No,Alto Rendimiento,23,5,4,25443,1,87,No,87.9,90.9,4,5,Ing. Inteligencia Artificial
82.6,4,89,5,7,5,No,No,Rendimiento Promedio,22,2,2,37559,2,77,No,78.9,85.6,8,7,Ing. Bioquímica
98.2,4,99,8,3,10,Sí,No,Alto Rendimiento,25,1,1,43804,0,80,Sí,82.9,94.9,9,7,Arquitectura
95.1,4,98,8,2,9,Sí,Sí,Alto Rendimiento,23,5,1,48571,3,84,Sí,82.8,89.1,5,7,Ing. Sistemas
80.1,4,92,6,4,5,No,Sí,Rendimiento Promedio,18,4,4,31758,2,83,Sí,86.5,81.9,8,7,Ing. Mecánica
82.7,4,85,8,6,7,No,No,Rendimiento Promedio,19,2,3,31080,0,82,No,86.3,88.5,11,5,Arquitectura
84.6,4,95,7,5,6,No,Sí,Rendimiento Promedio,21,1,2,44724,1,91,Sí,82.0,79.4,4,7,Ing. Civil
83.5,2,92,8,4,8,No,Sí,Rendimiento Promedio,24,4,1,33461,2,87,No,87.8,81.9,10,6,Ing. Electrónica
96.4,4,99,8,2,9,Sí,No,Alto Rendimiento,21,2,2,40616,0,88,No,79.2,92.6,9,5,Ing. Electrónica
83.9,4,87,5,7,6,No,Sí,Rendimiento Promedio,25,2,4,21163,3,81,No,81.3,84.7,7,6,Ing. Electrónica
83.9,3,95,6,7,5,No,Sí,Rendimiento Promedio,22,1,1,6040,2,92,No,83.7,84.2,8,6,Ing. Gestión Empresarial
72.9,1,77,5,10,3,No,No,Bajo Rendimiento,22,1,6,49948,1,81,Sí,92.5,87.9,12,4,Ing. Mecánica
80.3,4,80,5,5,6,No,Sí,Rendimiento Promedio,21,1,2,20408,2,86,No,91.3,90.1,11,7,Ing. Industrial
77.0,1,77,1,8,1,No,No,Bajo Rendimiento,18,5,6,14276,0,85,No,74.6,94.2,1,4,Ing. Bioquímica
84.7,4,89,5,7,6,No,No,Rendimiento Promedio,21,2,5,16577,0,81,Sí,87.8,84.4,6,7,Ing. Sistemas
97.3,4,98,10,4,10,No,No,Alto Rendimiento,25,3,6,24439,2,78,No,86.3,78.9,1,6,Ing. Industrial
90.0,4,87,6,5,8,Sí,No,Rendimiento Promedio,19,4,2,16851,2,83,No,87.9,89.6,11,6,Ing. Sistemas
88.6,3,94,8,4,7,No,Sí,Rendimiento Promedio,21,1,5,24133,0,81,No,80.2,77.9,11,7,Ing. Mecánica
89.0,4,95,8,6,6,No,Sí,Rendimiento Promedio,20,2,4,35191,3,78,No,98.9,84.9,7,5,Ing. Inteligencia Artificial
79.2,2,77,5,9,4,Sí,No,Bajo Rendimiento,18,4,3,6029,0,81,No,81.9,80.2,4,6,Ing. Industrial
87.7,4,94,6,7,8,Sí,Sí,Rendimiento Promedio,24,3,1,49236,2,88,No,85.4,85.7,7,6,Ing. Mecánica
92.0,4,99,8,4,8,Sí,No,Alto Rendimiento,18,4,1,12512,3,80,Sí,96.1,80.2,1,5,Ing. Gestión Empresarial
76.7,1,78,3,10,3,No,No,Bajo Rendimiento,21,3,2,42295,1,87,No,84.3,82.0,10,7,Ing. Inteligencia Artificial
77.0,1,77,2,10,3,No,No,Bajo Rendimiento,20,1,2,44255,0,86,No,82.2,81.2,3,5,Ing. Química
87.5,2,80,5,5,7,No,Sí,Rendimiento Promedio,19,5,3,39208,1,86,No,89.7,71.4,3,6,Ing. Mecánica
87.7,2,80,5,7,5,No,No,Rendimiento Promedio,25,3,4,17820,3,95,No,83.5,81.8,9,4,Ing. Civil
84.0,4,90,5,7,8,No,Sí,Rendimiento Promedio,25,1,2,48007,1,80,Sí,85.6,95.0,6,6,Ing. Química
73.2,2,76,5,8,4,No,No,Bajo Rendimiento,21,4,1,46446,1,86,No,78.3,89.2,11,6,Ing. Sistemas
95.9,4,100,9,4,10,No,No,Alto Rendimiento,19,4,3,48184,3,84,No,80.1,88.1,11,7,Ing. Mecánica
94.0,3,99,9,4,10,No,No,Alto Rendimiento,20,4,1,6771,3,84,No,86.2,77.5,7,5,Arquitectura
84.7,3,82,5,5,6,No,No,Rendimiento Promedio,25,5,5,44795,0,71,No,82.4,82.2,8,6,Ing. Civil
84.3,2,93,8,4,7,No,No,Rendimiento Promedio,24,2,2,11611,1,81,No,78.8,85.6,5,6,Ing. Civil
74.8,1,70,2,8,2,No,No,Bajo Rendimiento,21,3,2,16784,2,81,Sí,82.1,93.9,12,7,Ing. Inteligencia Artificial
89.7,4,92,8,5,5,No,No,Rendimiento Promedio,21,2,2,31462,2,84,No,82.5,74.0,4,5,Ing. Industrial
86.2,3,80,5,4,8,No,Sí,Rendimiento Promedio,25,4,1,46947,3,77,No,85.1,85.1,3,6,Ing. Mecánica
73.6,2,71,2,9,4,Sí,No,Bajo Rendimiento,19,5,4,26621,2,83,No,85.3,76.8,6,6,Ing. Gestión Empresarial
95.4,3,96,8,3,10,Sí,No,Alto Rendimiento,21,1,3,10925,0,79,No,87.8,85.9,10,6,Arquitectura
82.0,3,89,7,6,5,No,Sí,Rendimiento Promedio,20,5,4,8460,3,79,No,79.3,86.6,11,6,Ing. Química
84.9,4,87,8,4,5,No,Sí,Rendimiento Promedio,21,2,7,29164,3,75,No,80.5,84.6,7,7,Ing. Gestión Empresarial
89.5,3,84,8,6,6,No,Sí,Rendimiento Promedio,24,4,2,37680,1,76,No,79.7,93.6,2,7,Ing. Industrial
85.6,2,92,7,7,5,No,Sí,Rendimiento Promedio,24,3,6,33873,3,82,Sí,81.6,73.0,2,5,Ing. Inteligencia Artificial
82.8,3,86,5,6,6,No,Sí,Rendimiento Promedio,22,5,3,42727,2,88,Sí,81.8,80.5,10,7,Ing. Industrial
93.5,3,99,10,2,10,Sí,No,Alto Rendimiento,20,2,2,32582,3,83,Sí,78.2,82.9,2,7,Ing. Mecánica
97.8,3,97,9,2,10,Sí,No,Alto Rendimiento,18,2,1,9276,1,84,No,93.9,80.9,8,6,Arquitectura
94.8,4,95,10,4,8,Sí,No,Alto Rendimiento,19,1,5,15275,0,86,No,85.8,78.3,1,7,Ing. Mecánica
